departamento,año,dependencia
Total,1993,71.4
Total,2007,58.5
Total,2017,53.3
Amazonas,1993,93.8
Amazonas,2007,75.7
Amazonas,2017,65.4
Áncash,1993,78.8
Áncash,2007,64.4
Áncash,2017,58.7
Apurímac,1993,103.3
Apurímac,2007,81.9
Apurímac,2017,62.2
Arequipa,1993,61.8
Arequipa,2007,51.1
Arequipa,2017,48.1
Ayacucho,1993,94.4
Ayacucho,2007,76.7
Ayacucho,2017,59.6
Cajamarca,1993,92.4
Cajamarca,2007,70.6
Cajamarca,2017,61.9
Callao,1993,53.2
Callao,2007,49.7
Callao,2017,49.2
Cusco,1993,83.8
Cusco,2007,68.3
Cusco,2017,53.7
Huancavelica,1993,103.9
Huancavelica,2007,85.2
Huancavelica,2017,66.4
Huánuco,1993,91.8
Huánuco,2007,74.9
Huánuco,2017,60.4
Ica,1993,67.1
Ica,2007,55.3
Ica,2017,54.8
Junín,1993,81.6
Junín,2007,64.2
Junín,2017,56.2
La Libertad,1993,71
La Libertad,2007,60.7
La Libertad,2017,57.2
Lambayeque,1993,71.6
Lambayeque,2007,59.2
Lambayeque,2017,56.2
Lima Metropolitana,1993,52.5
Lima Metropolitana,2007,46.2
Lima Metropolitana,2017,44.9
Lima,1993,71.9
Lima,2007,58
Lima,2017,54.6
Loreto,1993,93.3
Loreto,2007,73.8
Loreto,2017,74
Madre de Dios,1993,70.7
Madre de Dios,2007,51.7
Madre de Dios,2017,52.3
Moquegua,1993,58.5
Moquegua,2007,48
Moquegua,2017,48.4
Pasco,1993,82.4
Pasco,2007,60.7
Pasco,2017,53.8
Piura,1993,81
Piura,2007,64.5
Piura,2017,60
Puno,1993,83.8
Puno,2007,64.2
Puno,2017,52.1
San Martín,1993,78.9
San Martín,2007,63.8
San Martín,2017,59.8
Tacna,1993,57.4
Tacna,2007,46.4
Tacna,2017,43.3
Tumbes,1993,69
Tumbes,2007,54.5
Tumbes,2017,55.7
Ucayali,1993,85.3
Ucayali,2007,66.4
Ucayali,2017,65.5
