departamento,año,edad
Total,1993,25.6
Total,2007,28.4
Total,2017,32
Amazonas,1993,22.9
Amazonas,2007,25.5
Amazonas,2017,29.7
Áncash,1993,26
Áncash,2007,28.9
Áncash,2017,32.7
Apurímac,1993,24.7
Apurímac,2007,27
Apurímac,2017,31.6
Arequipa,1993,26.8
Arequipa,2007,30.1
Arequipa,2017,33
Ayacucho,1993,25.4
Ayacucho,2007,27
Ayacucho,2017,31.1
Cajamarca,1993,23.9
Cajamarca,2007,27
Cajamarca,2017,31.2
Callao,1993,27.4
Callao,2007,29.7
Callao,2017,32.8
Cusco,1993,24.8
Cusco,2007,27.2
Cusco,2017,31.3
Huancavelica,1993,24.1
Huancavelica,2007,25.7
Huancavelica,2017,31.1
Huánuco,1993,23.1
Huánuco,2007,25.7
Huánuco,2017,30.2
Ica,1993,26.3
Ica,2007,29.1
Ica,2017,31.5
Junín,1993,24.8
Junín,2007,27.3
Junín,2017,31
La Libertad,1993,25.8
La Libertad,2007,28.4
La Libertad,2017,31.5
Lambayeque,1993,25.4
Lambayeque,2007,28.6
Lambayeque,2017,32
Lima Metropolitana,1993,27.4
Lima Metropolitana,2007,30.8
Lima Metropolitana,2017,33.6
Lima,1993,26.8
Lima,2007,29.7
Lima,2017,32.8
Loreto,1993,22.1
Loreto,2007,24.1
Loreto,2017,27.7
Madre de Dios,1993,22.5
Madre de Dios,2007,25.3
Madre de Dios,2017,28.1
Moquegua,1993,27.3
Moquegua,2007,30.7
Moquegua,2017,33.9
Pasco,1993,23.6
Pasco,2007,26.3
Pasco,2017,30.4
Piura,1993,24.7
Piura,2007,27.5
Piura,2017,30.7
Puno,1993,26
Puno,2007,28.3
Puno,2017,32.7
San Martín,1993,23
San Martín,2007,25.9
San Martín,2017,29.5
Tacna,1993,25.5
Tacna,2007,28.8
Tacna,2017,32.5
Tumbes,1993,24.2
Tumbes,2007,27.5
Tumbes,2017,30.5
Ucayali,1993,22.3
Ucayali,2007,24.9
Ucayali,2017,27.8
