continente,año,personas
América del Norte,2012,316436
América del Norte,2013,381562
América del Norte,2014,405471
América del Norte,2015,442828
América del Norte,2016,480116
América del Norte,2017,483053
América del Norte,2018,513635
América del Norte,2019,556459
América del Norte,2020,175335
América del Norte,2021,479183
América del Norte,2022,520888
América del Norte,2023,567878
América del Centro,2012,161021
América del Centro,2013,165736
América del Centro,2014,178558
América del Centro,2015,194202
América del Centro,2016,208820
América del Centro,2017,214259
América del Centro,2018,231764
América del Centro,2019,253291
América del Centro,2020,70567
América del Centro,2021,143221
América del Centro,2022,232466
América del Centro,2023,260964
América del Sur,2012,1909314
América del Sur,2013,2034707
América del Sur,2014,2139704
América del Sur,2015,2317143
América del Sur,2016,2473466
América del Sur,2017,2562574
América del Sur,2018,2717085
América del Sur,2019,2827716
América del Sur,2020,736580
América del Sur,2021,250495
América del Sur,2022,1373591
América del Sur,2023,2262665
Europa,2012,158900
Europa,2013,160166
Europa,2014,156624
Europa,2015,165073
Europa,2016,190124
Europa,2017,218587
Europa,2018,227825
Europa,2019,249674
Europa,2020,76673
Europa,2021,104119
Europa,2022,247134
Europa,2023,312801
Asia,2012,1534
Asia,2013,1094
Asia,2014,763
Asia,2015,746
Asia,2016,703
Asia,2017,611
Asia,2018,295
Asia,2019,259
Asia,2020,66
Asia,2021,151
Asia,2022,318
Asia,2023,334
África,2012,128
África,2013,86
África,2014,72
África,2015,42
África,2016,30
África,2017,38
África,2018,185
África,2019,181
África,2020,188
África,2021,204
África,2022,214
África,2023,255
Oceanía,2012,140
Oceanía,2013,88
Oceanía,2014,73
Oceanía,2015,53
Oceanía,2016,102
Oceanía,2017,186
Oceanía,2018,12
Oceanía,2019,28
Oceanía,2020,85
Oceanía,2021,3
Oceanía,2022,29
Oceanía,2023,64
Otros,2012,930
Otros,2013,1356
Otros,2014,1564
Otros,2015,952
Otros,2016,914
Otros,2017,1362
Otros,2018,1093
Otros,2019,1068
Otros,2020,666
Otros,2021,575
Otros,2022,374
Otros,2023,380
