departamento,tipo,municipalidades,año
Amazonas,Municipalidades Informantes,84,2021
Amazonas,Distritos con elementos contaminantes,69,2021
Amazonas,Municipalidades Informantes,84,2022
Amazonas,Distritos con elementos contaminantes,74,2022
Amazonas,Municipalidades Informantes,84,2023
Amazonas,Distritos con elementos contaminantes,73,2023
Áncash,Municipalidades Informantes,166,2021
Áncash,Distritos con elementos contaminantes,153,2021
Áncash,Municipalidades Informantes,166,2022
Áncash,Distritos con elementos contaminantes,145,2022
Áncash,Municipalidades Informantes,166,2023
Áncash,Distritos con elementos contaminantes,147,2023
Apurímac,Municipalidades Informantes,84,2021
Apurímac,Distritos con elementos contaminantes,77,2021
Apurímac,Municipalidades Informantes,84,2022
Apurímac,Distritos con elementos contaminantes,75,2022
Apurímac,Municipalidades Informantes,85,2023
Apurímac,Distritos con elementos contaminantes,82,2023
Arequipa,Municipalidades Informantes,109,2021
Arequipa,Distritos con elementos contaminantes,102,2021
Arequipa,Municipalidades Informantes,109,2022
Arequipa,Distritos con elementos contaminantes,102,2022
Arequipa,Municipalidades Informantes,109,2023
Arequipa,Distritos con elementos contaminantes,101,2023
Ayacucho,Municipalidades Informantes,119,2021
Ayacucho,Distritos con elementos contaminantes,103,2021
Ayacucho,Municipalidades Informantes,119,2022
Ayacucho,Distritos con elementos contaminantes,110,2022
Ayacucho,Municipalidades Informantes,124,2023
Ayacucho,Distritos con elementos contaminantes,112,2023
Cajamarca,Municipalidades Informantes,127,2021
Cajamarca,Distritos con elementos contaminantes,113,2021
Cajamarca,Municipalidades Informantes,127,2022
Cajamarca,Distritos con elementos contaminantes,117,2022
Cajamarca,Municipalidades Informantes,127,2023
Cajamarca,Distritos con elementos contaminantes,121,2023
Callao,Municipalidades Informantes,7,2021
Callao,Distritos con elementos contaminantes,7,2021
Callao,Municipalidades Informantes,7,2022
Callao,Distritos con elementos contaminantes,7,2022
Callao,Municipalidades Informantes,7,2023
Callao,Distritos con elementos contaminantes,6,2023
Cusco,Municipalidades Informantes,112,2021
Cusco,Distritos con elementos contaminantes,111,2021
Cusco,Municipalidades Informantes,112,2022
Cusco,Distritos con elementos contaminantes,108,2022
Cusco,Municipalidades Informantes,116,2023
Cusco,Distritos con elementos contaminantes,112,2023
Huancavelica,Municipalidades Informantes,100,2021
Huancavelica,Distritos con elementos contaminantes,90,2021
Huancavelica,Municipalidades Informantes,100,2022
Huancavelica,Distritos con elementos contaminantes,86,2022
Huancavelica,Municipalidades Informantes,102,2023
