grupo_de_edad,año,personas
0-4,1940,133427
0-4,1961,213961
0-4,1972,312038
0-4,1981,409158
0-4,1993,494323
0-4,2007,592028
0-4,2017,501000
15-19,1940,588855
15-19,1961,973716
15-19,1972,1413312
15-19,1981,1864691
15-19,1993,2374171
15-19,2007,2730785
15-19,2017,2422478
20-24,1940,531210
20-24,1961,848190
20-24,1972,1150589
20-24,1981,1601575
20-24,1993,2124128
20-24,2007,2531554
20-24,2017,2508736
25-29,1940,481192
25-29,1961,741270
25-29,1972,929550
25-29,1981,1277594
25-29,1993,1797972
25-29,2007,2291865
25-29,2017,2386320
30-34,1940,385331
30-34,1961,620013
30-34,1972,771727
30-34,1981,1020448
30-34,1993,1548955
30-34,2007,2074691
30-34,2017,2257102
35-39,1940,372726
35-39,1961,539955
35-39,1972,729091
35-39,1981,883976
35-39,1993,1293769
35-39,2007,1871852
35-39,2017,2122675
40-44,1940,277709
40-44,1961,420329
40-44,1972,604999
40-44,1981,739950
40-44,1993,1057031
40-44,2007,1642059
40-44,2017,1952661
45-49,1940,242151
45-49,1961,364630
45-49,1972,487965
45-49,1981,643422
45-49,1993,862423
45-49,2007,1371385
45-49,2017,1707717
50-54,1940,179349
50-54,1961,291866
50-54,1972,388618
50-54,1981,532482
50-54,1993,717182
50-54,2007,1152647
50-54,2017,1503225
55-59,1940,138871
55-59,1961,225443
55-59,1972,299975
55-59,1981,399526
55-59,1993,573662
55-59,2007,892143
55-59,2017,1269343
60-64,1940,130595
60-64,1961,210981
60-64,1972,274570
60-64,1981,336250
60-64,1993,517568
60-64,2007,730956
60-64,2017,1038505
65-69,1940,82892
65-69,1961,129716
65-69,1972,186809
65-69,1981,236900
65-69,1993,363300
65-69,2007,579302
65-69,2017,807902
70-74,1940,68362
70-74,1961,97105
70-74,1972,143616
70-74,1981,180273
70-74,1993,271044
70-74,2007,452998
70-74,2017,624512
75-79,1940,41433
75-79,1961,148459
75-79,1972,77845
75-79,1981,121025
75-79,1993,175471
75-79,2007,343999
75-79,2017,453554
80 y más,1940,73154
80 y más,1961,
80 y más,1972,114215
80 y más,1981,154482
80 y más,1993,216304
80 y más,2007,388388
80 y más,2017,573103
