departamento,provincia,distrito,partido,votos
AFRICA,ARGELIA,ARGEL,Acción Popular,2
AFRICA,ARGELIA,ARGEL,Avanza Pais,1
AFRICA,ARGELIA,ARGEL,Podemos Perú,0
AFRICA,ARGELIA,ARGEL,Renovación Popular,1
AFRICA,ARGELIA,ARGEL,Somos Perú,0
AFRICA,ARGELIA,ARGEL,Fuerza Popular,0
AFRICA,ARGELIA,ARGEL,Perú Libre,0
AFRICA,ARGELIA,ARGEL,Alianza para el Progreso,0
AFRICA,MARRUECOS,RABAT,Acción Popular,2
AFRICA,MARRUECOS,RABAT,Avanza Pais,0
AFRICA,MARRUECOS,RABAT,Podemos Perú,0
AFRICA,MARRUECOS,RABAT,Renovación Popular,2
AFRICA,MARRUECOS,RABAT,Somos Perú,0
AFRICA,MARRUECOS,RABAT,Fuerza Popular,0
AFRICA,MARRUECOS,RABAT,Perú Libre,1
AFRICA,MARRUECOS,RABAT,Alianza para el Progreso,0
AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,Acción Popular,0
AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,Avanza Pais,0
AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,Podemos Perú,0
AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,Renovación Popular,0
AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,Somos Perú,0
AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,Fuerza Popular,0
AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,Perú Libre,0
AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,Alianza para el Progreso,0
AFRICA,SUDAFRICA,JOHANNESBURGO,Acción Popular,0
AFRICA,SUDAFRICA,JOHANNESBURGO,Avanza Pais,0
AFRICA,SUDAFRICA,JOHANNESBURGO,Podemos Perú,0
AFRICA,SUDAFRICA,JOHANNESBURGO,Renovación Popular,0
AFRICA,SUDAFRICA,JOHANNESBURGO,Somos Perú,0
AFRICA,SUDAFRICA,JOHANNESBURGO,Fuerza Popular,0
AFRICA,SUDAFRICA,JOHANNESBURGO,Perú Libre,0
AFRICA,SUDAFRICA,JOHANNESBURGO,Alianza para el Progreso,0
AFRICA,SUDAFRICA,PRETORIA,Acción Popular,0
AFRICA,SUDAFRICA,PRETORIA,Avanza Pais,0
AFRICA,SUDAFRICA,PRETORIA,Podemos Perú,0
AFRICA,SUDAFRICA,PRETORIA,Renovación Popular,4
AFRICA,SUDAFRICA,PRETORIA,Somos Perú,0
AFRICA,SUDAFRICA,PRETORIA,Fuerza Popular,0
AFRICA,SUDAFRICA,PRETORIA,Perú Libre,0
AFRICA,SUDAFRICA,PRETORIA,Alianza para el Progreso,0
AMAZONAS,BAGUA,ARAMANGO,Acción Popular,267
AMAZONAS,BAGUA,ARAMANGO,Avanza Pais,69
AMAZONAS,BAGUA,ARAMANGO,Podemos Perú,265
AMAZONAS,BAGUA,ARAMANGO,Renovación Popular,252
AMAZONAS,BAGUA,ARAMANGO,Somos Perú,27
AMAZONAS,BAGUA,ARAMANGO,Fuerza Popular,673
AMAZONAS,BAGUA,ARAMANGO,Perú Libre,1250
AMAZONAS,BAGUA,ARAMANGO,Alianza para el Progreso,241
AMAZONAS,BAGUA,BAGUA,Acción Popular,931
AMAZONAS,BAGUA,BAGUA,Avanza Pais,375
AMAZONAS,BAGUA,BAGUA,Podemos Perú,276
AMAZONAS,BAGUA,BAGUA,Renovación Popular,925
AMAZONAS,BAGUA,BAGUA,Somos Perú,117
AMAZONAS,BAGUA,BAGUA,Fuerza Popular,1658
AMAZONAS,BAGUA,BAGUA,Perú Libre,2540
AMAZONAS,BAGUA,BAGUA,Alianza para el Progreso,1247
AMAZONAS,BAGUA,COPALLIN,Acción Popular,220
AMAZONAS,BAGUA,COPALLIN,Avanza Pais,40
AMAZONAS,BAGUA,COPALLIN,Podemos Perú,28
AMAZONAS,BAGUA,COPALLIN,Renovación Popular,127
AMAZONAS,BAGUA,COPALLIN,Somos Perú,25
AMAZONAS,BAGUA,COPALLIN,Fuerza Popular,235
AMAZONAS,BAGUA,COPALLIN,Perú Libre,481
AMAZONAS,BAGUA,COPALLIN,Alianza para el Progreso,167
AMAZONAS,BAGUA,EL PARCO,Acción Popular,64
AMAZONAS,BAGUA,EL PARCO,Avanza Pais,14
AMAZONAS,BAGUA,EL PARCO,Podemos Perú,14
AMAZONAS,BAGUA,EL PARCO,Renovación Popular,42
AMAZONAS,BAGUA,EL PARCO,Somos Perú,7
AMAZONAS,BAGUA,EL PARCO,Fuerza Popular,71
AMAZONAS,BAGUA,EL PARCO,Perú Libre,214
AMAZONAS,BAGUA,EL PARCO,Alianza para el Progreso,47
AMAZONAS,BAGUA,IMAZA,Acción Popular,208
AMAZONAS,BAGUA,IMAZA,Avanza Pais,68
AMAZONAS,BAGUA,IMAZA,Podemos Perú,1723
AMAZONAS,BAGUA,IMAZA,Renovación Popular,252
AMAZONAS,BAGUA,IMAZA,Somos Perú,28
AMAZONAS,BAGUA,IMAZA,Fuerza Popular,338
