continente,año,personas
América del Norte,2012,331930
América del Norte,2013,398646
América del Norte,2014,418603
América del Norte,2015,463444
América del Norte,2016,497499
América del Norte,2017,494656
América del Norte,2018,527131
América del Norte,2019,578072
América del Norte,2020,169191
América del Norte,2021,518507
América del Norte,2022,598005
América del Norte,2023,635399
América del Centro,2012,151855
América del Centro,2013,158459
América del Centro,2014,172101
América del Centro,2015,192018
América del Centro,2016,206335
América del Centro,2017,213400
América del Centro,2018,228816
América del Centro,2019,245468
América del Centro,2020,63379
América del Centro,2021,148613
América del Centro,2022,249450
América del Centro,2023,266239
América del Sur,2012,2170236
América del Sur,2013,2247908
América del Sur,2014,2318118
América del Sur,2015,2445134
América del Sur,2016,2545580
América del Sur,2017,2626282
América del Sur,2018,2761024
América del Sur,2019,2865219
América del Sur,2020,735771
América del Sur,2021,252170
América del Sur,2022,1445481
América del Sur,2023,2324174
Europa,2012,156713
Europa,2013,154900
Europa,2014,156963
Europa,2015,166997
Europa,2016,211616
Europa,2017,245183
Europa,2018,260927
Europa,2019,293254
Europa,2020,75758
Europa,2021,147233
Europa,2022,314108
Europa,2023,376219
Asia,2012,3988
Asia,2013,3380
Asia,2014,2455
Asia,2015,2306
Asia,2016,1953
Asia,2017,1558
Asia,2018,775
Asia,2019,643
Asia,2020,144
Asia,2021,179
Asia,2022,168
Asia,2023,317
África,2012,290
África,2013,300
África,2014,209
África,2015,184
África,2016,296
África,2017,477
África,2018,376
África,2019,256
África,2020,209
África,2021,238
África,2022,135
África,2023,266
Oceanía,2012,402
Oceanía,2013,333
Oceanía,2014,249
Oceanía,2015,280
Oceanía,2016,226
Oceanía,2017,297
Oceanía,2018,74
Oceanía,2019,65
Oceanía,2020,54
Oceanía,2021,4
Oceanía,2022,31
Oceanía,2023,53
Otros,2012,1109
Otros,2013,1333
Otros,2014,1498
Otros,2015,1184
Otros,2016,1242
Otros,2017,1366
Otros,2018,1081
Otros,2019,1031
Otros,2020,815
Otros,2021,696
Otros,2022,612
Otros,2023,527
