departamento,año,temperatura_maxima_promedio
Amazonas,2014,20.0
Amazonas,2015,20.0
Amazonas,2016,20.9
Amazonas,2017,20.3
Amazonas,2018,20.1
Amazonas,2019,20.0
Amazonas,2020,20.5
Amazonas,2021,20.0
Amazonas,2022,20.2
Áncash,2014,20.9
Áncash,2015,21.7
Áncash,2016,21.8
Áncash,2017,20.8
Áncash,2018,20.6
Áncash,2019,21.1
Áncash,2021,20.3
Áncash,2022,20.8
Áncash,2023,22.5
Apurímac,2014,21.4
Apurímac,2015,21.1
Apurímac,2016,22.3
Apurímac,2017,20.9
Apurímac,2018,20.9
Apurímac,2019,21.3
Apurímac,2021,20.9
Apurímac,2022,22.1
Apurímac,2023,20.9
Arequipa,2014,23.1
Arequipa,2015,24.1
Arequipa,2016,25.0
Arequipa,2017,23.5
Arequipa,2018,23.6
Arequipa,2019,24.4
Arequipa,2021,24.5
Arequipa,2022,23.9
Arequipa,2023,24.8
Ayacucho,2014,27.4
Ayacucho,2015,26.5
Ayacucho,2016,28.2
Ayacucho,2017,26.8
Ayacucho,2018,25.6
Ayacucho,2019,26.4
Ayacucho,2020,27.6
Ayacucho,2021,27.2
Ayacucho,2022,28.2
Ayacucho,2023,28.4
Cajamarca,2014,22.0
Cajamarca,2015,22.0
Cajamarca,2016,22.7
Cajamarca,2017,21.8
Cajamarca,2018,21.6
Cajamarca,2019,21.7
Cajamarca,2020,22.6
Cajamarca,2021,22.0
Cajamarca,2022,21.8
Cajamarca,2023,22.3
Cusco,2014,21.5
Cusco,2015,21.2
Cusco,2016,22.0
Cusco,2017,21.2
Cusco,2018,20.7
Cusco,2019,21.1
Cusco,2020,21.7
Cusco,2021,21.4
Cusco,2022,22.2
Cusco,2023,22.2
Huancavelica,2014,16.5
Huancavelica,2015,16.8
Huancavelica,2016,18.0
Huancavelica,2017,16.8
Huancavelica,2018,16.8
Huancavelica,2019,17.2
Huancavelica,2020,16.7
Huancavelica,2021,16.7
Huancavelica,2022,17.7
Huancavelica,2023,17.2
Huánuco,2014,26.5
Huánuco,2015,26.8
Huánuco,2016,27.6
Huánuco,2017,26.9
Huánuco,2018,26.3
Huánuco,2019,26.8
Huánuco,2020,27.4
Huánuco,2021,27.1
Huánuco,2022,27.3
Huánuco,2023,27.2
Ica,2014,29.9
Ica,2015,29.8
Ica,2016,30.6
Ica,2017,30.0
Ica,2018,29.7
Ica,2019,30.1
Ica,2020,30.3
Ica,2021,29.6
Ica,2022,29.8
Ica,2023,30.1
Junín,2014,20.5
Junín,2015,20.7
Junín,2016,21.5
Junín,2017,20.4
Junín,2018,20.4
Junín,2019,20.3
Junín,2020,21.1
Junín,2021,20.3
Junín,2022,20.7
Junín,2023,20.5
La Libertad,2014,24.6
La Libertad,2015,26.1
La Libertad,2016,25.2
La Libertad,2017,24.9
La Libertad,2018,23.7
La Libertad,2019,24.2
La Libertad,2020,24.1
La Libertad,2021,23.2
La Libertad,2022,22.3
La Libertad,2023,26.7
Lambayeque,2014,26.2
Lambayeque,2015,27.1
Lambayeque,2016,27.0
Lambayeque,2017,26.3
Lambayeque,2018,25.3
Lambayeque,2019,25.7
Lambayeque,2020,25.2
Lambayeque,2021,24.8
Lambayeque,2022,24.3
Lambayeque,2023,28.5
Lima,2014,22.1
Lima,2015,23.4
Lima,2016,23.3
Lima,2017,23.1
Lima,2018,22.4
Lima,2019,22.5
Lima,2021,21.6
Lima,2022,21.4
Lima,2023,24.6
Loreto,2014,31.8
Loreto,2015,32.2
Loreto,2016,32.2
Loreto,2017,32.0
Loreto,2018,31.7
Loreto,2019,31.7
Loreto,2020,32.2
Loreto,2021,31.9
Loreto,2022,31.9
Loreto,2023,32.4
Madre de Dios,2014,31.2
Madre de Dios,2015,31.6
Madre de Dios,2016,31.7
Madre de Dios,2017,31.6
Madre de Dios,2018,31.0
Madre de Dios,2019,31.2
Madre de Dios,2020,32.5
Madre de Dios,2021,31.3
Madre de Dios,2022,31.1
Madre de Dios,2023,32.1
Moquegua,2014,27.2
Moquegua,2015,27.6
Moquegua,2016,27.9
Moquegua,2017,27.3
Moquegua,2018,27.6
Moquegua,2019,27.7
Moquegua,2021,27.3
Moquegua,2022,27.3
Moquegua,2023,28.1
Pasco,2014,10.7
Pasco,2015,11.2
Pasco,2016,12.1
Pasco,2017,11.0
Pasco,2018,11.0
Pasco,2019,11.4
Pasco,2022,11.8
Pasco,2023,12.0
Piura,2014,31.3
Piura,2015,31.7
Piura,2016,32.3
Piura,2017,30.6
Piura,2018,31.3
Piura,2019,31.8
Piura,2021,30.3
Piura,2022,29.2
Piura,2023,32.2
Puno,2014,16.0
Puno,2015,16.1
Puno,2016,16.9
Puno,2017,16.3
Puno,2018,16.0
Puno,2019,16.6
Puno,2021,16.2
Puno,2022,16.3
San Martín,2014,28.4
San Martín,2015,28.7
San Martín,2016,29.4
San Martín,2017,28.6
San Martín,2018,28.2
San Martín,2019,28.6
San Martín,2021,28.7
San Martín,2022,29.2
San Martín,2023,29.1
Tacna,2014,23.6
Tacna,2015,24.4
Tacna,2016,24.8
Tacna,2017,24.3
Tacna,2018,24.1
Tacna,2019,23.7
Tacna,2020,24.3
Tacna,2021,22.8
Tacna,2022,22.8
Tacna,2023,24.6
Tumbes,2014,30.3
Tumbes,2015,32.0
Tumbes,2016,31.6
Tumbes,2017,30.5
Tumbes,2018,30.6
Tumbes,2019,30.0
Tumbes,2021,27.6
Tumbes,2022,26.8
Tumbes,2023,31.4
Ucayali,2014,31.3
Ucayali,2015,31.9
Ucayali,2016,32.0
Ucayali,2017,31.7
Ucayali,2018,31.7
Ucayali,2019,32.0
Ucayali,2021,31.9
Ucayali,2022,32.5
Ucayali,2023,33.0
